code_module,code_presentation,n_students,n_high_risk,avg_risk_probability,actual_at_risk_rate,pct_high_risk
AAA,2013J,383,41,0.3589141090140049,0.2741514360313316,0.107
AAA,2014J,365,45,0.377323868998809,0.30684931506849317,0.123
BBB,2013B,1767,575,0.5234328139421534,0.545557441992077,0.325
BBB,2013J,2237,745,0.5316627409426374,0.5207867679928475,0.333
BBB,2014B,1613,579,0.5542507211685438,0.5492870427774333,0.359
BBB,2014J,2292,626,0.487233754969438,0.4973821989528796,0.273
CCC,2014B,1936,1001,0.5923540761353305,0.6575413223140496,0.517
CCC,2014J,2498,1003,0.5127497961542923,0.5936749399519615,0.402
DDD,2013B,1303,449,0.5221899073411829,0.6085955487336915,0.345
DDD,2013J,1938,758,0.5551210317632713,0.5722394220846233,0.391
DDD,2014B,1228,492,0.5573914453850857,0.6099348534201955,0.401
DDD,2014J,1803,569,0.4982028479538068,0.5607321131447587,0.316
EEE,2013J,1052,254,0.47375767100581034,0.4211026615969582,0.241
EEE,2014B,694,199,0.5021090641650692,0.48559077809798273,0.287
EEE,2014J,1188,332,0.49045743317038726,0.42424242424242425,0.279
FFF,2013B,1614,330,0.4188175840525578,0.5154894671623296,0.204
FFF,2013J,2283,561,0.45187880625618726,0.5203679369250985,0.246
FFF,2014B,1500,509,0.5206006342400012,0.564,0.339
FFF,2014J,2365,788,0.5150029585524815,0.5276955602536998,0.333
GGG,2013J,952,243,0.5001360546512117,0.37815126050420167,0.255
GGG,2014B,833,230,0.5134269744689761,0.4261704681872749,0.276
GGG,2014J,749,208,0.4997294730286586,0.40720961281708945,0.278
