code_module,code_presentation,id_student,final_result,at_risk,risk_probability,risk_tier,predicted_at_risk
AAA,2013J,11391,Pass,0,0.2742780454553444,Low,0
AAA,2013J,28400,Pass,0,0.41121480042459957,Medium,0
AAA,2013J,30268,Withdrawn,1,0.48519001126936556,Medium,0
AAA,2013J,31604,Pass,0,0.2296885069151304,Low,0
AAA,2013J,32885,Pass,0,0.37292482510022523,Low,0
AAA,2013J,38053,Pass,0,0.17820775637867836,Low,0
AAA,2013J,45462,Pass,0,0.38527349569938546,Low,0
AAA,2013J,45642,Pass,0,0.23038364187658672,Low,0
AAA,2013J,52130,Pass,0,0.25551816729518184,Low,0
AAA,2013J,53025,Pass,0,0.19962875063976152,Low,0
AAA,2013J,57506,Pass,0,0.31216564863332236,Low,0
AAA,2013J,58873,Pass,0,0.26181261080728696,Low,0
AAA,2013J,59185,Pass,0,0.3811033905108055,Low,0
AAA,2013J,62155,Pass,0,0.2267476964943502,Low,0
AAA,2013J,63400,Pass,0,0.21161406896183743,Low,0
AAA,2013J,65002,Withdrawn,1,0.4141414276783461,Medium,0
AAA,2013J,70464,Pass,0,0.29797345578143497,Low,0
AAA,2013J,71361,Pass,0,0.13293850718550584,Low,0
AAA,2013J,74372,Fail,1,0.7672095120389308,High,1
AAA,2013J,75091,Pass,0,0.2793530641233303,Low,0
AAA,2013J,77367,Pass,0,0.24785414675354772,Low,0
AAA,2013J,91265,Pass,0,0.3748140221108313,Low,0
AAA,2013J,94961,Withdrawn,1,0.3747833624244165,Low,0
AAA,2013J,98094,Pass,0,0.3470577419621654,Low,0
AAA,2013J,100893,Pass,0,0.4384835296441371,Medium,0
AAA,2013J,101781,Pass,0,0.16849363158959083,Low,0
AAA,2013J,102806,Pass,0,0.17633680838877397,Low,0
AAA,2013J,102952,Pass,0,0.28242797381390833,Low,0
AAA,2013J,104476,Pass,0,0.1878652396883619,Low,0
AAA,2013J,106247,Withdrawn,1,0.5631083024738226,Medium,1
AAA,2013J,106577,Pass,0,0.5007410612779506,Medium,1
AAA,2013J,110175,Pass,0,0.31752340554989344,Low,0
AAA,2013J,111717,Pass,0,0.14779448830663722,Low,0
AAA,2013J,113295,Pass,0,0.18699472191603042,Low,0
AAA,2013J,114017,Pass,0,0.287103984789017,Low,0
AAA,2013J,114999,Pass,0,0.26262324929226094,Low,0
AAA,2013J,116541,Pass,0,0.28953683810987335,Low,0
AAA,2013J,116692,Pass,0,0.2520970091773713,Low,0
AAA,2013J,118983,Pass,0,0.3557592196601075,Low,0
AAA,2013J,123044,Pass,0,0.3366425567695007,Low,0
AAA,2013J,127582,Pass,0,0.3962446523833175,Low,0
AAA,2013J,129955,Withdrawn,1,0.24638139995955607,Low,0
AAA,2013J,132976,Pass,0,0.36550017023839243,Low,0
AAA,2013J,134143,Distinction,0,0.09986868275148961,Low,0
AAA,2013J,135335,Withdrawn,1,0.7378129621608839,High,1
AAA,2013J,135400,Withdrawn,1,0.3951672038430343,Low,0
AAA,2013J,137873,Pass,0,0.21812928236189275,Low,0
AAA,2013J,141355,Pass,0,0.27572184365028296,Low,0
AAA,2013J,141377,Withdrawn,1,0.7775766112257192,High,1
AAA,2013J,142326,Pass,0,0.2860770744124601,Low,0
AAA,2013J,144801,Pass,0,0.2196103706077,Low,0
AAA,2013J,145130,Pass,0,0.3310628605339068,Low,0
AAA,2013J,146188,Fail,1,0.6053973979786766,High,1
AAA,2013J,147756,Fail,1,0.35743738490673704,Low,0
